Paper_ID,DOI,Publication_Year,First_Author,Source_Title,Dopant,Bandgap,Doping_Conc_wt_pct,Calcination_Annealing_Temp_C,H2_Rate_umol_h_g,Reaction_Type,Synthesis_Group,Reaction_Temp_C,Avg_Wavelength_nm,pH,Radius_Mismatch,Electronegativity_Mismatch,Charge_Mismatch,Atomic_Weight,Is_Baseline_Row
2,10.1039/C6DT02155G,2016,Z. Wu,Synthesis of Na doped ZnO Hollow Spheres with Improving Photocatalytic Activity for Hydrogen Production,Na,3.29,0.0,400,26.7,Photocatalytic_H2,Aqueous/Water-Based,4,350,7,0.25,0.72,-1,22.99,True
2,10.1039/C6DT02155G,2016,Z. Wu,Synthesis of Na doped ZnO Hollow Spheres with Improving Photocatalytic Activity for Hydrogen Production,Na,3.31,0.07,400,400.0,Photocatalytic_H2,Aqueous/Water-Based,4,350,7,0.25,0.72,-1,22.99,False
2,10.1039/C6DT02155G,2016,Z. Wu,Synthesis of Na doped ZnO Hollow Spheres with Improving Photocatalytic Activity for Hydrogen Production,Na,3.2,0.25,400,1380.0,Photocatalytic_H2,Aqueous/Water-Based,4,350,7,0.25,0.72,-1,22.99,False
2,10.1039/C6DT02155G,2016,Z. Wu,Synthesis of Na doped ZnO Hollow Spheres with Improving Photocatalytic Activity for Hydrogen Production,Na,3.37,0.71,400,750.0,Photocatalytic_H2,Aqueous/Water-Based,4,350,7,0.25,0.72,-1,22.99,False
2,10.1039/C6DT02155G,2016,Z. Wu,Synthesis of Na doped ZnO Hollow Spheres with Improving Photocatalytic Activity for Hydrogen Production,Na,3.45,1.44,400,450.0,Photocatalytic_H2,Aqueous/Water-Based,4,350,7,0.25,0.72,-1,22.99,False
40,10.1007/s40243-021-00199-5,2021,A. B. Patil,Efficient photocatalytic hydrogen production over Ce/ZnO from aqueous methanol solution,Ce,3.05,4.1,600,43.0,Photocatalytic_H2,Sol-Gel/Wet Chemistry,25,365,7,0.27,0.53,1,140.12,False
54,10.1021/acsomega.3c01262,2023,I. Ahmad,Testing of Sr-Doped ZnO/CNT Photocatalysts for Hydrogen Evolution from Water Splitting under Atmospheric Dielectric Barrier Plasma Exposure,Sr,3.3,0.0,400,56.0,Plasma-Assisted Water Splitting,Sol-Gel/Wet Chemistry,25,300,7,0.44,0.7,0,87.62,True
54,10.1021/acsomega.3c01262,2023,I. Ahmad,Testing of Sr-Doped ZnO/CNT Photocatalysts for Hydrogen Evolution from Water Splitting under Atmospheric Dielectric Barrier Plasma Exposure,Sr,3.3,10.0,400,695.0,Plasma-Assisted Water Splitting,Sol-Gel/Wet Chemistry,25,300,7,0.44,0.7,0,87.62,False
54,10.1021/acsomega.3c01262,2023,I. Ahmad,Testing of Sr-Doped ZnO/CNT Photocatalysts for Hydrogen Evolution from Water Splitting under Atmospheric Dielectric Barrier Plasma Exposure,Sr,3.3,20.0,400,901.0,Plasma-Assisted Water Splitting,Sol-Gel/Wet Chemistry,25,300,7,0.44,0.7,0,87.62,False
54,10.1021/acsomega.3c01262,2023,I. Ahmad,Testing of Sr-Doped ZnO/CNT Photocatalysts for Hydrogen Evolution from Water Splitting under Atmospheric Dielectric Barrier Plasma Exposure,Sr,3.3,25.0,400,1150.0,Plasma-Assisted Water Splitting,Sol-Gel/Wet Chemistry,25,300,7,0.44,0.7,0,87.62,False
