Paper_ID,DOI,Publication_Year,First_Author,Source_Title,Dopant,Bandgap,Doping_Conc_wt_pct,Calcination_Annealing_Temp_C,H2_Rate_umol_h_g,Reaction_Type,Synthesis_Group,Reaction_Temp_C,Avg_Wavelength_nm,pH,Radius_Mismatch,Electronegativity_Mismatch,Charge_Mismatch,Atomic_Weight,Is_Baseline_Row,b1,b2,baseline,EF,lnRR
2,10.1039/C6DT02155G,2016,Z. Wu,Synthesis of Na doped ZnO Hollow Spheres with Improving Photocatalytic Activity for Hydrogen Production,Na,3.31,0.07,400,400.0,Photocatalytic_H2,Aqueous/Water-Based,4,350,7,0.25,0.72,-1,22.99,False,26.7,26.7,26.7,14.981273408239701,2.7068009817017784
2,10.1039/C6DT02155G,2016,Z. Wu,Synthesis of Na doped ZnO Hollow Spheres with Improving Photocatalytic Activity for Hydrogen Production,Na,3.2,0.25,400,1380.0,Photocatalytic_H2,Aqueous/Water-Based,4,350,7,0.25,0.72,-1,22.99,False,26.7,26.7,26.7,51.68539325842697,3.945175212745047
2,10.1039/C6DT02155G,2016,Z. Wu,Synthesis of Na doped ZnO Hollow Spheres with Improving Photocatalytic Activity for Hydrogen Production,Na,3.37,0.71,400,750.0,Photocatalytic_H2,Aqueous/Water-Based,4,350,7,0.25,0.72,-1,22.99,False,26.7,26.7,26.7,28.08988764044944,3.3354096411241523
2,10.1039/C6DT02155G,2016,Z. Wu,Synthesis of Na doped ZnO Hollow Spheres with Improving Photocatalytic Activity for Hydrogen Production,Na,3.45,1.44,400,450.0,Photocatalytic_H2,Aqueous/Water-Based,4,350,7,0.25,0.72,-1,22.99,False,26.7,26.7,26.7,16.853932584269664,2.824584017358162
40,10.1007/s40243-021-00199-5,2021,A. B. Patil,Efficient photocatalytic hydrogen production over Ce/ZnO from aqueous methanol solution,Ce,3.05,4.1,600,43.0,Photocatalytic_H2,Sol-Gel/Wet Chemistry,25,365,7,0.27,0.53,1,140.12,False,,1.2,1.2,35.833333333333336,3.578878558899608
54,10.1021/acsomega.3c01262,2023,I. Ahmad,Testing of Sr-Doped ZnO/CNT Photocatalysts for Hydrogen Evolution from Water Splitting under Atmospheric Dielectric Barrier Plasma Exposure,Sr,3.3,10.0,400,695.0,Plasma-Assisted Water Splitting,Sol-Gel/Wet Chemistry,25,300,7,0.44,0.7,0,87.62,False,56.0,56.0,56.0,12.410714285714286,2.518560154829643
54,10.1021/acsomega.3c01262,2023,I. Ahmad,Testing of Sr-Doped ZnO/CNT Photocatalysts for Hydrogen Evolution from Water Splitting under Atmospheric Dielectric Barrier Plasma Exposure,Sr,3.3,20.0,400,901.0,Plasma-Assisted Water Splitting,Sol-Gel/Wet Chemistry,25,300,7,0.44,0.7,0,87.62,False,56.0,56.0,56.0,16.089285714285715,2.778153566873189
54,10.1021/acsomega.3c01262,2023,I. Ahmad,Testing of Sr-Doped ZnO/CNT Photocatalysts for Hydrogen Evolution from Water Splitting under Atmospheric Dielectric Barrier Plasma Exposure,Sr,3.3,25.0,400,1150.0,Plasma-Assisted Water Splitting,Sol-Gel/Wet Chemistry,25,300,7,0.44,0.7,0,87.62,False,56.0,56.0,56.0,20.535714285714285,3.0221655306221464
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.1,1.0,450,2944.6,H2S splitting,Alcohol-Based Solvent,25,560,12,0.03,0.25,0,63.55,False,1686.1333333333332,1708.6000000000001,1686.1333333333332,1.7463624861616323,0.5575350453550145
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.1,1.5,450,3212.2,H2S splitting,Alcohol-Based Solvent,25,560,12,0.03,0.25,0,63.55,False,1686.1333333333332,1708.6000000000001,1686.1333333333332,1.9050687964573778,0.6445181215525031
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.1,1.0,450,3479.8,H2S splitting,Alcohol-Based Solvent,25,560,12,0.03,0.25,0,63.55,False,1686.1333333333332,1708.6000000000001,1686.1333333333332,2.063775106753124,0.7245368817763223
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.1,1.5,450,3506.8,H2S splitting,Aqueous/Water-Based,25,560,12,0.03,0.25,0,63.55,False,1731.0666666666666,1708.6000000000001,1731.0666666666666,2.0258029731186937,0.7059661518964419
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.1,1.5,450,3863.6,H2S splitting,Alcohol-Based Solvent,25,560,12,0.03,0.25,0,63.55,False,1686.1333333333332,1708.6000000000001,1686.1333333333332,2.291396489008382,0.8291614522288471
4,10.1016/j.matchemphys.2006.11.012,2007,K. G. Kanade,Self-assembled aligned Cu doped ZnO nanoparticles for photocatalytic hydrogen production under visible light irradiation,Cu,3.1,1.0,450,3417.4,H2S splitting,Alcohol-Based Solvent,25,560,12,0.03,0.25,0,63.55,False,1686.1333333333332,1708.6000000000001,1686.1333333333332,2.0267673572671203,0.7064420889378794
5,10.3390/app9132741,2019,V. Vaiano,Photocatalytic Hydrogen Production from Glycerol Aqueous Solution Using Cu-Doped ZnO under Visible Light Irradiation,Cu,2.92,0.84,600,696.7,Photoreforming,Precipitation Method,25,560,6,0.03,0.25,0,63.55,False,102.0,102.0,102.0,6.830392156862746,1.9213820887518023
5,10.3390/app9132741,2019,V. Vaiano,Photocatalytic Hydrogen Production from Glycerol Aqueous Solution Using Cu-Doped ZnO under Visible Light Irradiation,Cu,3.02,0.42,600,350.0,Photoreforming,Precipitation Method,25,560,6,0.03,0.25,0,63.55,False,102.0,102.0,102.0,3.4313725490196076,1.2329603411991883
5,10.3390/app9132741,2019,V. Vaiano,Photocatalytic Hydrogen Production from Glycerol Aqueous Solution Using Cu-Doped ZnO under Visible Light Irradiation,Cu,2.94,1.7,600,333.33,Photoreforming,Precipitation Method,25,560,6,0.03,0.25,0,63.55,False,102.0,102.0,102.0,3.267941176470588,1.1841601769797558
5,10.3390/app9132741,2019,V. Vaiano,Photocatalytic Hydrogen Production from Glycerol Aqueous Solution Using Cu-Doped ZnO under Visible Light Irradiation,Cu,2.91,3.4,600,133.33,Photoreforming,Precipitation Method,25,560,6,0.03,0.25,0,63.55,False,102.0,102.0,102.0,1.3071568627450982,0.2678544448430962
7,10.1016/j.ijhydene.2017.08.135,2017,N. S. Gultom,"Enhanced photocatalytic hydrogen production of noble-metal free Ni-doped Zn(O,S) in ethanol solution",Ni,3.21,0.89,500,240.5,Photoreforming,Sol-Gel/Wet Chemistry,25,365,9,0.05,0.26,0,58.69,False,145.2,145.2,145.2,1.6563360881542701,0.5046079871551202
7,10.1016/j.ijhydene.2017.08.135,2017,N. S. Gultom,"Enhanced photocatalytic hydrogen production of noble-metal free Ni-doped Zn(O,S) in ethanol solution",Ni,3.14,2.68,500,445.8,Photoreforming,Sol-Gel/Wet Chemistry,25,365,10,0.05,0.26,0,58.69,False,145.2,145.2,145.2,3.0702479338842976,1.1217583185610729
7,10.1016/j.ijhydene.2017.08.135,2017,N. S. Gultom,"Enhanced photocatalytic hydrogen production of noble-metal free Ni-doped Zn(O,S) in ethanol solution",Ni,1.18,4.5,500,310.2,Photoreforming,Sol-Gel/Wet Chemistry,25,365,11,0.05,0.26,0,58.69,False,145.2,145.2,145.2,2.1363636363636362,0.7591051483517427
